"","originalPlace","interpretedPlace","longitude","latitude","xmin","xmax","ymin","ymax","uncertainty"
"69","Maryland","Maryland, USA",-76.6412712,39.0457549,-79.4876511,-74.9862819,37.8866049,39.723037,161195
"33","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"51","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"43","Half Moon Bay","Half Moon Bay, CA, USA",-122.4285862,37.4635519,-122.4778879,-122.4165183,37.4249286,37.5226389,6116
"22","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"5","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"58","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"19","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"66","Los Angeles, CA","Los Angeles, CA, USA",-118.2436849,34.0522342,-118.6681759,-118.1552891,33.7036519,34.3373061,32655
"10","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"63","Howard County, MD, USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"35","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"62","Howard County, MD, USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"86","Savage, MD","Savage, MD, USA",-76.8217374,39.1378733,-76.8436689,-76.8046739,39.1342159,39.165379,1939
"17","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"46","HoCo | MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"72","Maryland","Maryland, USA",-76.6412712,39.0457549,-79.4876511,-74.9862819,37.8866049,39.723037,161195
"16","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"7","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"82","Newcastle. UK.","Newcastle upon Tyne, UK",-1.61778,54.978252,-1.7810817,-1.5326051,54.9594399,55.0453044,9242
"1","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"87","Washington, DC","Washington, DC, USA",-77.0368707,38.9071923,-77.119759,-76.909393,38.7916449,38.995548,14708
"29","Elicott City MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"30","Elicott City MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"42","Half Moon Bay","Half Moon Bay, CA, USA",-122.4285862,37.4635519,-122.4778879,-122.4165183,37.4249286,37.5226389,6116
"71","Maryland","Maryland, USA",-76.6412712,39.0457549,-79.4876511,-74.9862819,37.8866049,39.723037,161195
"53","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"4","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"52","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"49","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"28","Columbia, MD.","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"27","Columbia, MD ","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"41","Half Moon Bay","Half Moon Bay, CA, USA",-122.4285862,37.4635519,-122.4778879,-122.4165183,37.4249286,37.5226389,6116
"11","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"13","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"15","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"65","Los Angeles, CA","Los Angeles, CA, USA",-118.2436849,34.0522342,-118.6681759,-118.1552891,33.7036519,34.3373061,32655
"8","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"31","Elkridge, Maryland","Elkridge, MD, USA",-76.7625073,39.1978788,-76.796716,-76.6973248,39.1798139,39.225603,3572
"32","Elkridge, Maryland","Elkridge, MD, USA",-76.7625073,39.1978788,-76.796716,-76.6973248,39.1798139,39.225603,3572
"40","Half Moon Bay","Half Moon Bay, CA, USA",-122.4285862,37.4635519,-122.4778879,-122.4165183,37.4249286,37.5226389,6116
"44","Highland, Maryland","Highland, MD, USA",-76.9577073,39.1791249,-76.9808948,-76.9378299,39.1667969,39.1937399,2363
"59","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
